Boulder_ID,Information,Project,Date,Lat,Lon,Original_Lat,Original_Lon
RC00129,,Empire Wind,8/19/2024,40.6423,-74.0382,40.6311,-74.043
RC00125,,Empire Wind,8/19/2024,40.6423,-74.0378,40.6311,-74.0427
RC00137,,Empire Wind,8/19/2024,40.6421,-74.0379,40.6312,-74.043
RC00133,,Empire Wind,8/19/2024,40.6422,-74.0386,40.6313,-74.0429
RC00146,,Empire Wind,8/19/2024,40.6418,-74.0382,40.6313,-74.0429
RC00147,,Empire Wind,8/19/2024,40.6417,-74.0382,40.6315,-74.0428
RC00162,,Empire Wind,8/19/2024,40.6403,-74.0399,40.6315,-74.0426
RC00204,,Empire Wind,8/19/2024,40.6349,-74.0417,40.6316,-74.0424
RC00222,,Empire Wind,8/19/2024,40.6343,-74.0417,40.6317,-74.0425
RC00223,,Empire Wind,8/19/2024,40.6343,-74.0417,40.6317,-74.0426
RC00226,,Empire Wind,8/19/2024,40.6341,-74.0414,40.6317,-74.0427
RC00235,,Empire Wind,8/19/2024,40.6339,-74.0414,40.6317,-74.0427
RC00238,,Empire Wind,8/19/2024,40.6339,-74.0415,40.6317,-74.0428
RC00245,,Empire Wind,8/19/2024,40.6337,-74.0415,40.6318,-74.0426
RC00246,,Empire Wind,8/19/2024,40.6337,-74.0415,40.6318,-74.0427
RC00247,,Empire Wind,8/19/2024,40.6337,-74.0415,40.6318,-74.0426
RC00254,,Empire Wind,8/19/2024,40.6335,-74.0416,40.6319,-74.0425
RC00261,,Empire Wind,8/19/2024,40.6333,-74.0423,40.6321,-74.0426
RC00265,,Empire Wind,8/19/2024,40.6332,-74.0417,40.6322,-74.0422
RC00266,,Empire Wind,8/19/2024,40.6332,-74.0417,40.6323,-74.0426
RC00267,,Empire Wind,8/19/2024,40.6332,-74.0423,40.6325,-74.0425
RC00273,,Empire Wind,8/19/2024,40.6331,-74.0417,40.6326,-74.0422
RC00276,,Empire Wind,8/19/2024,40.633,-74.0418,40.6326,-74.0422
RC00278,,Empire Wind,8/19/2024,40.633,-74.0418,40.6326,-74.0423
RC00280,,Empire Wind,8/19/2024,40.6329,-74.0418,40.6327,-74.0419
RC00281,,Empire Wind,8/19/2024,40.6329,-74.0418,40.6327,-74.042
RC00283,,Empire Wind,8/19/2024,40.6329,-74.0424,40.6327,-74.0423
RC00284,,Empire Wind,8/19/2024,40.6329,-74.0424,40.6327,-74.0421
RC00288,,Empire Wind,8/19/2024,40.6328,-74.0419,40.6328,-74.0422
RC00289,,Empire Wind,8/19/2024,40.6328,-74.0425,40.6328,-74.0422
RC00294,,Empire Wind,8/19/2024,40.6327,-74.0419,40.6329,-74.0421
RC00297,,Empire Wind,8/19/2024,40.6327,-74.0419,40.6329,-74.042
RC00299,,Empire Wind,8/19/2024,40.6327,-74.0425,40.6329,-74.0422
RC00302,,Empire Wind,8/19/2024,40.6326,-74.0419,40.6329,-74.0421
RC00304,,Empire Wind,8/19/2024,40.6326,-74.042,40.633,-74.042
RC00305,,Empire Wind,8/19/2024,40.6326,-74.0426,40.633,-74.042
RC00303,,Empire Wind,8/19/2024,40.6327,-74.0425,40.6331,-74.042
RC00311,,Empire Wind,8/19/2024,40.6325,-74.0426,40.6332,-74.0419
RC00318,,Empire Wind,8/19/2024,40.6324,-74.0427,40.6332,-74.0419
RC00327,,Empire Wind,8/19/2024,40.6322,-74.0421,40.6332,-74.0421
RC00331,,Empire Wind,8/19/2024,40.6321,-74.0427,40.6333,-74.042
RC00336,,Empire Wind,8/19/2024,40.6319,-74.0423,40.6335,-74.0418
RC00337,,Empire Wind,8/19/2024,40.6318,-74.0428,40.6337,-74.0416
RC00341,,Empire Wind,8/19/2024,40.6318,-74.0429,40.6337,-74.0416
RC00342,,Empire Wind,8/19/2024,40.6317,-74.0429,40.6337,-74.0416
RC00345,,Empire Wind,8/19/2024,40.6318,-74.0423,40.6339,-74.0415
RC00346,,Empire Wind,8/19/2024,40.6318,-74.0429,40.6339,-74.0416
RC00347,,Empire Wind,8/19/2024,40.6317,-74.0429,40.6341,-74.0415
RC00348,,Empire Wind,8/19/2024,40.6317,-74.0429,40.6343,-74.0416
RC00349,,Empire Wind,8/19/2024,40.6317,-74.0429,40.6343,-74.0416
RC00351,,Empire Wind,8/19/2024,40.6316,-74.0424,40.6349,-74.0416
RC00354,,Empire Wind,8/19/2024,40.6316,-74.043,40.6403,-74.0398
RC00357,,Empire Wind,8/19/2024,40.6315,-74.0424,40.6417,-74.0383
RC00365,,Empire Wind,8/19/2024,40.6313,-74.043,40.6418,-74.0383
RC00369,,Empire Wind,8/19/2024,40.6313,-74.0431,40.6421,-74.0381
RC00370,,Empire Wind,8/19/2024,40.6312,-74.0431,40.6422,-74.0385
RC00377,,Empire Wind,8/19/2024,40.6311,-74.0432,40.6423,-74.0383
RC00380,,Empire Wind,8/19/2024,40.6311,-74.0426,40.6423,-74.038
